"","locus_tag","ftype","length_bp","gene","EC_number","COG","product","KO_ID"
"1082","KKOIIGHA_01671","CDS",1545,"atpA","7.1.2.2","","ATP synthase subunit alpha","K02111"
"1083","KKOIIGHA_01672","CDS",876,"atpG","","COG0224","ATP synthase gamma chain","K02115"
"1084","KKOIIGHA_01673","CDS",1377,"atpD_2","7.1.2.2","COG0055","ATP synthase subunit beta","K02112"
"1085","KKOIIGHA_01674","CDS",429,"atpC","","","ATP synthase epsilon chain","K02114"
"1086","KKOIIGHA_01675","CDS",1362,"glmU","","","Bifunctional protein GlmU","K04042"
"1087","KKOIIGHA_01677","CDS",1836,"glmS","2.6.1.16","COG0449","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","K00820"
"1088","KKOIIGHA_01678","CDS",1128,"mltA","4.2.2.-","COG2821","Membrane-bound lytic murein transglycosylase A","K08304"
"1089","KKOIIGHA_01680","CDS",1362,"","","","hypothetical protein","K03308"
"1090","KKOIIGHA_01682","CDS",888,"hexR_2","","COG1737","HTH-type transcriptional regulator HexR","K19337"
"1091","KKOIIGHA_01683","CDS",2250,"uvrD_1","5.6.2.4","COG0210","DNA helicase II","K03657"
"1092","KKOIIGHA_01685","CDS",1086,"","","COG4663","Monocarboxylate 2-oxoacid-binding periplasmic protein","K11688"
"1093","KKOIIGHA_01686","CDS",420,"","3.1.2.-","COG1607","putative acyl-CoA thioester hydrolase","K10806"
"1094","KKOIIGHA_01687","CDS",729,"phoU","","","Phosphate-specific transport system accessory protein PhoU ","K02039"
"1095","KKOIIGHA_01688","CDS",744,"cysZ","","COG2981","Sulfate transporter CysZ","K06203"
"1096","KKOIIGHA_01689","CDS",1350,"phoR","2.7.13.3","COG5002","Phosphate regulon sensor protein PhoR","K07636"
"1097","KKOIIGHA_01690","CDS",690,"phoB","","COG0745","Phosphate regulon transcriptional regulatory protein PhoB","K07657"
"1098","KKOIIGHA_01691","CDS",900,"ubiA","2.5.1.39","COG0382","4-hydroxybenzoate octaprenyltransferase","K03179"
"1099","KKOIIGHA_01692","CDS",474,"ubiC","4.1.3.40","COG3161","Chorismate pyruvate-lyase","K03181"
"1100","KKOIIGHA_01693","CDS",1161,"alkT","1.18.1.1","","Rubredoxin-NAD(+) reductase","K05297"
"1101","KKOIIGHA_01694","CDS",276,"hup","","","DNA-binding protein HU","K03530"
"1102","KKOIIGHA_01697","CDS",2082,"recG","5.6.2.4","COG1200","ATP-dependent DNA helicase RecG","K03655"
"1103","KKOIIGHA_01698","CDS",927,"oxyR_1","","COG0583","DNA-binding transcriptional dual regulator OxyR","K04761"
"1104","KKOIIGHA_01700","CDS",513,"thpR","3.1.4.58","COG1514","RNA 2',3'-cyclic phosphodiesterase","K01975"
"1105","KKOIIGHA_01702","CDS",2139,"spoT","3.1.7.2","COG0317","Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase","K01139"
"1106","KKOIIGHA_01703","CDS",255,"rpoZ","2.7.7.6","","DNA-directed RNA polymerase subunit omega","K03060"
"1107","KKOIIGHA_01704","CDS",687,"gmk","2.7.4.8","","Guanylate kinase","K00942"
"1108","KKOIIGHA_01707","CDS",903,"ygbT_2","3.1.-.-","COG1518","CRISPR-associated endonuclease Cas1","K15342"
"1109","KKOIIGHA_01710","CDS",1119,"casC_2","","COG1857","CRISPR system Cascade subunit CasC","K19124"
"1110","KKOIIGHA_01712","CDS",1542,"","","","hypothetical protein","K19123"
"1111","KKOIIGHA_01713","CDS",2442,"","","","hypothetical protein","K07012"
"1112","KKOIIGHA_01714","CDS",1050,"pyrC","3.5.2.3","COG0418","Dihydroorotase","K01465"
"1113","KKOIIGHA_01716","CDS",1113,"emrA_3","","COG1566","Multidrug export protein EmrA","K03543"
"1114","KKOIIGHA_01717","CDS",1560,"mdtD_2","","","Putative multidrug resistance protein MdtD","K03446"
"1115","KKOIIGHA_01718","CDS",1203,"ydhP_2","","COG2814","Inner membrane transport protein YdhP","K19577"
"1116","KKOIIGHA_01735","CDS",1206,"ynjB_1","","COG4134","Protein YnjB","K05777"
"1117","KKOIIGHA_01736","CDS",1713,"ynjC","","COG4135","Inner membrane ABC transporter permease protein YnjC","K05778"
"1118","KKOIIGHA_01737","CDS",639,"phnT","","","Putative 2-aminoethylphosphonate import ATP-binding protein PhnT","K05779"
"1119","KKOIIGHA_01738","CDS",1035,"","","","hypothetical protein","K16291"
"1120","KKOIIGHA_01740","CDS",234,"","","","hypothetical protein","K00382"
"1121","KKOIIGHA_01741","CDS",2427,"copA_3","7.2.2.8","","Copper-exporting P-type ATPase","K17686"
"1122","KKOIIGHA_01744","CDS",1410,"merA","1.16.1.1","","Mercuric reductase","K00520"
"1123","KKOIIGHA_01746","CDS",429,"","","","ISL3 family transposase ISStma11","K08365"
"1124","KKOIIGHA_01748","CDS",396,"","","","hypothetical protein","K03072"
"1125","KKOIIGHA_01753","CDS",633,"cofC","2.7.7.105","","2-phospho-L-lactate guanylyltransferase","K09931"
"1126","KKOIIGHA_01754","CDS",609,"","","","hypothetical protein","K03088"
"1127","KKOIIGHA_01759","CDS",690,"","3.8.1.2","","(S)-2-haloacid dehalogenase","K01560"
"1128","KKOIIGHA_01763","CDS",738,"rph","2.7.7.56","","Ribonuclease PH","K00989"
"1129","KKOIIGHA_01764","CDS",768,"exoA","3.1.11.2","COG0708","Exodeoxyribonuclease","K01142"
"1130","KKOIIGHA_01765","CDS",669,"pyrE","2.4.2.10","","Orotate phosphoribosyltransferase","K00762"
"1131","KKOIIGHA_01767","CDS",564,"trmL","2.1.1.207","COG0219","tRNA (cytidine(34)-2'-O)-methyltransferase","K03216"
"1132","KKOIIGHA_01768","CDS",2043,"rep","5.6.2.4","COG0210","ATP-dependent DNA helicase Rep","K03656"
"1133","KKOIIGHA_01771","CDS",744,"hyuA","5.1.99.5","","Hydantoin racemase","K16841"
"1134","KKOIIGHA_01772","CDS",939,"","","","hypothetical protein","K16842"
"1135","KKOIIGHA_01773","CDS",834,"allE","3.5.3.26","COG3257","(S)-ureidoglycine aminohydrolase","K14977"
"1136","KKOIIGHA_01774","CDS",489,"allA","4.3.2.3","COG3194","Ureidoglycolate lyase","K01483"
"1137","KKOIIGHA_01775","CDS",1779,"gcl","4.1.1.47","COG3960","Glyoxylate carboligase","K01608"
"1138","KKOIIGHA_01776","CDS",804,"hyi","5.3.1.22","COG3622","Hydroxypyruvate isomerase","K01816"
"1139","KKOIIGHA_01777","CDS",885,"glxR_1","1.1.1.60","COG2084","2-hydroxy-3-oxopropionate reductase","K00042"
"1140","KKOIIGHA_01778","CDS",1353,"ttuD","1.1.1.81","","Putative hydroxypyruvate reductase","K11529"
"1141","KKOIIGHA_01779","CDS",1020,"nadA","2.5.1.72","COG0379","Quinolinate synthase","K03517"
"1142","KKOIIGHA_01783","CDS",861,"rluB","5.4.99.22","COG1187","Ribosomal large subunit pseudouridine synthase B","K06178"
"1143","KKOIIGHA_01784","CDS",828,"scpB","","","Segregation and condensation protein B","K06024"
"1144","KKOIIGHA_01785","CDS",975,"scpA","","","Segregation and condensation protein A","K05896"
"1145","KKOIIGHA_01786","CDS",1818,"radD","3.6.4.12","COG1061","Putative DNA repair helicase RadD","K19789"
"1146","KKOIIGHA_01788","CDS",3927,"purL","6.3.5.3","","Phosphoribosylformylglycinamidine synthase","K01952"
"1147","KKOIIGHA_01789","CDS",1458,"mltF","4.2.2.-","","Membrane-bound lytic murein transglycosylase F","K18691"
"1148","KKOIIGHA_01790","CDS",474,"tadA_2","3.5.4.33","COG0590","tRNA-specific adenosine deaminase","K11991"
"1149","KKOIIGHA_01791","CDS",813,"tesB","3.1.2.20","COG1946","Acyl-CoA thioesterase 2","K10805"
"1150","KKOIIGHA_01793","CDS",1062,"yahK","1.1.1.2","COG1064","Aldehyde reductase YahK","K13979"
"1151","KKOIIGHA_01799","CDS",711,"","","","hypothetical protein","K07238"
"1152","KKOIIGHA_01800","CDS",1305,"rhlE_2","3.6.4.13","COG0513","ATP-dependent RNA helicase RhlE","K11927"
"1153","KKOIIGHA_01802","CDS",1635,"ywrD","2.3.2.2","COG0405","Glutathione hydrolase-like YwrD proenzyme","K00681"
"1154","KKOIIGHA_01804","CDS",531,"","","","hypothetical protein","K07240"
"1155","KKOIIGHA_01805","CDS",999,"","","","hypothetical protein","K07795"
"1156","KKOIIGHA_01807","CDS",1500,"","","","hypothetical protein","K07793"
"1157","KKOIIGHA_01818","CDS",1461,"katA","1.11.1.6","","Catalase","K03781"
"1158","KKOIIGHA_01820","CDS",1005,"yejK","","COG3081","Nucleoid-associated protein YejK","K06899"
"1159","KKOIIGHA_01823","CDS",771,"hdpA","3.1.3.-","","Dihydroxyacetone phosphatase","K02566"
"1160","KKOIIGHA_01824","CDS",870,"yghU","1.8.4.-","COG0625","Disulfide-bond oxidoreductase YghU","K11209"
"1161","KKOIIGHA_01827","CDS",666,"tpm_1","2.1.1.67","","Thiopurine S-methyltransferase","K00569"
"1162","KKOIIGHA_01832","CDS",1242,"dao","1.4.3.3","COG0665","D-amino-acid oxidase","K26064"
"1163","KKOIIGHA_01833","CDS",2688,"","","","hypothetical protein","K01156"
"1164","KKOIIGHA_01835","CDS",1575,"guaA_2","6.3.5.2","COG0518","GMP synthase [glutamine-hydrolyzing]","K01951"
"1165","KKOIIGHA_01836","CDS",1470,"guaB_2","1.1.1.205","","Inosine-5'-monophosphate dehydrogenase","K00088"
"1166","KKOIIGHA_01837","CDS",1326,"xseA","3.1.11.6","COG1570","Exodeoxyribonuclease 7 large subunit","K03601"
"1167","KKOIIGHA_01838","CDS",1365,"glrR","","COG2204","Transcriptional regulatory protein GlrR","K07715"
"1168","KKOIIGHA_01840","CDS",1536,"glrK","2.7.13.3","COG2205","Sensor histidine kinase GlrK","K07711"
"1169","KKOIIGHA_01841","CDS",1314,"argA","2.3.1.1","","Amino-acid acetyltransferase","K14682"
"1170","KKOIIGHA_01842","CDS",1272,"","","","hypothetical protein","K03306"
"1171","KKOIIGHA_01843","CDS",681,"","","","hypothetical protein","K07220"
"1172","KKOIIGHA_01844","CDS",873,"","","","hypothetical protein","K18446"
"1173","KKOIIGHA_01845","CDS",873,"","","","hypothetical protein","K10716"
"1174","KKOIIGHA_01847","CDS",900,"","3.1.3.97","COG0613","3',5'-nucleoside bisphosphate phosphatase","K07053"
"1175","KKOIIGHA_01848","CDS",552,"yciB","","COG2917","Inner membrane-spanning protein YciB","K06190"
"1176","KKOIIGHA_01849","CDS",300,"yciI","","COG2350","Protein YciI","K09780"
"1177","KKOIIGHA_01850","CDS",1839,"phaC_3","2.3.1.-","COG3243","Poly(3-hydroxyalkanoate) polymerase subunit PhaC","K03821"
"1178","KKOIIGHA_01852","CDS",1035,"","","","hypothetical protein","K07001"
"1179","KKOIIGHA_01853","CDS",2031,"mnmC","","COG0665","tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC","K15461"
"1180","KKOIIGHA_01854","CDS",804,"bdhA","1.1.1.30","COG1028","D-beta-hydroxybutyrate dehydrogenase","K00019"
"1181","KKOIIGHA_01855","CDS",1155,"","","","hypothetical protein","K07001"
"1182","KKOIIGHA_01856","CDS",1020,"","","","hypothetical protein","K01993"
"1183","KKOIIGHA_01857","CDS",942,"ybhF","","COG1131","putative multidrug ABC transporter ATP-binding protein YbhF","K01990"
"1184","KKOIIGHA_01858","CDS",1092,"ybhS","","COG0842","putative multidrug ABC transporter permease YbhS","K01992"
"1185","KKOIIGHA_01860","CDS",2052,"ligA","6.5.1.2","COG0272","DNA ligase","K01972"
"1186","KKOIIGHA_01861","CDS",1248,"zipA","","","Cell division protein ZipA","K03528"
"1187","KKOIIGHA_01862","CDS",3495,"smc_3","","","Chromosome partition protein Smc","K03529"
"1188","KKOIIGHA_01863","CDS",1239,"","","","hypothetical protein","K02200"
"1189","KKOIIGHA_01864","CDS",474,"ccmH","","","Cytochrome c-type biogenesis protein CcmH","K02200"
"1190","KKOIIGHA_01865","CDS",534,"dsbE","","","Thiol:disulfide interchange protein DsbE","K02199"
"1191","KKOIIGHA_01866","CDS",1983,"ccmF","","COG1138","Cytochrome c-type biogenesis protein CcmF","K02198"
"1192","KKOIIGHA_01867","CDS",456,"ccmE","","COG2332","Cytochrome c-type biogenesis protein CcmE","K02197"
"1193","KKOIIGHA_01869","CDS",732,"ccmC","","COG0755","Heme exporter protein C","K02195"
"1194","KKOIIGHA_01870","CDS",699,"ccmB","","COG2386","Heme exporter protein B","K02194"
"1195","KKOIIGHA_01871","CDS",633,"ccmA","7.6.2.5","COG4133","Cytochrome c biogenesis ATP-binding export protein CcmA","K02193"
"1196","KKOIIGHA_01872","CDS",474,"lexA_3","3.4.21.88","","LexA repressor","K01356"
"1197","KKOIIGHA_01874","CDS",1020,"dusC","1.3.1.-","COG0042","tRNA-dihydrouridine(16) synthase","K05541"
"1198","KKOIIGHA_01877","CDS",198,"csrA","","COG1551","Carbon storage regulator","K03563"
"1199","KKOIIGHA_01878","CDS",1251,"lysC","2.7.2.4","COG0527","Aspartate kinase Ask_LysC","K00928"
"1200","KKOIIGHA_01879","CDS",2610,"alaS","6.1.1.7","COG0013","Alanine--tRNA ligase","K01872"
"1201","KKOIIGHA_01881","CDS",1068,"recA","","","Protein RecA","K03553"
"1202","KKOIIGHA_01882","CDS",540,"pncC_1","3.5.1.42","COG1546","Nicotinamide-nucleotide amidohydrolase PncC","K03743"
"1203","KKOIIGHA_01883","CDS",2589,"mutS","","","DNA mismatch repair protein MutS","K03555"
"1204","KKOIIGHA_01884","CDS",324,"fdxA","","","Ferredoxin-1","K05524"
"1205","KKOIIGHA_01885","CDS",1296,"eno","4.2.1.11","","Enolase","K01689"
"1206","KKOIIGHA_01886","CDS",855,"kdsA","2.5.1.55","","2-dehydro-3-deoxyphosphooctonate aldolase","K01627"
"1207","KKOIIGHA_01887","CDS",1656,"pyrG","6.3.4.2","COG0504","CTP synthase","K01937"
"1208","KKOIIGHA_01889","CDS",1419,"gltD","1.4.1.13","COG0493","Glutamate synthase [NADPH] small chain","K00266"
"1209","KKOIIGHA_01890","CDS",4452,"gltB","1.4.1.13","COG0067","Glutamate synthase [NADPH] large chain","K00265"
"1210","KKOIIGHA_01891","CDS",1110,"aroB","4.2.3.4","COG0337","3-dehydroquinate synthase","K01735"
"1211","KKOIIGHA_01892","CDS",543,"aroK","2.7.1.71","COG0703","Shikimate kinase 1","K00891"
"1212","KKOIIGHA_01893","CDS",2034,"pilQ","","","Fimbrial assembly protein PilQ","K02666"
"1213","KKOIIGHA_01895","CDS",645,"pilO","","","Type IV pilus inner membrane component PilO","K02664"
"1214","KKOIIGHA_01896","CDS",582,"pilN","","","Type IV pilus inner membrane component PilN","K02663"
"1215","KKOIIGHA_01897","CDS",1062,"pilM","","","Type IV pilus inner membrane component PilM","K02662"
"1216","KKOIIGHA_01898","CDS",2532,"mrcA","","","Penicillin-binding protein 1A","K05366"
"1217","KKOIIGHA_01899","CDS",771,"","","","hypothetical protein","K07283"
"1218","KKOIIGHA_01900","CDS",1269,"maeB","1.1.1.40","COG0281","NADP-dependent malic enzyme","K00029"
"1219","KKOIIGHA_01903","CDS",1488,"bauC_1","1.2.1.27","","Malonate-semialdehyde dehydrogenase","K00140"
"1220","KKOIIGHA_01904","CDS",1284,"dddP_1","4.4.1.3","COG0006","Dimethylsulfoniopropionate lyase DddP","K01262"
"1221","KKOIIGHA_01907","CDS",537,"idi","5.3.3.2","COG1443","Isopentenyl-diphosphate Delta-isomerase","K01823"
"1222","KKOIIGHA_01909","CDS",1179,"fadA","2.3.1.16","COG0183","3-ketoacyl-CoA thiolase","K00632"
"1223","KKOIIGHA_01910","CDS",2175,"fadB_1","","COG1024","Fatty acid oxidation complex subunit alpha","K01825"
"1224","KKOIIGHA_01912","CDS",483,"slyA_3","","","Transcriptional regulator SlyA","K06075"
"1225","KKOIIGHA_01914","CDS",459,"uspA2","","COG0589","Universal stress protein A ","K06149"
"1226","KKOIIGHA_01915","CDS",1935,"uup_2","3.6.1.-","COG0488","ATP-binding protein Uup","K15738"
"1227","KKOIIGHA_01916","CDS",864,"tatD","3.1.11.-","COG0084","3'-5' ssDNA/RNA exonuclease TatD","K03424"
"1228","KKOIIGHA_01918","CDS",537,"","","","hypothetical protein","K07168"
"1229","KKOIIGHA_01919","CDS",573,"epmC","1.14.13.-","COG3101","Elongation factor P lysine hydroxylase","K09906"
"1230","KKOIIGHA_01920","CDS",1443,"norM_2","","COG0534","Multidrug resistance protein NorM","K26939"
"1231","KKOIIGHA_01923","CDS",243,"tusA_1","","COG0425","Sulfur carrier protein TusA","K04085"
"1232","KKOIIGHA_01924","CDS",1083,"rlmM","2.1.1.186","COG2933","Ribosomal RNA large subunit methyltransferase M","K06968"
"1233","KKOIIGHA_01925","CDS",732,"trmJ_2","2.1.1.200","COG0565","tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ","K15396"
"1234","KKOIIGHA_01926","CDS",1677,"rpsA","","COG0539","Small ribosomal subunit protein bS1","K02945"
"1235","KKOIIGHA_01927","CDS",699,"cmk","2.7.4.25","","Cytidylate kinase","K00945"
"1236","KKOIIGHA_01928","CDS",2238,"aroA","2.5.1.19","","3-phosphoshikimate 1-carboxyvinyltransferase","K00800"
"1237","KKOIIGHA_01929","CDS",1092,"pheA","","COG0077","Bifunctional chorismate mutase/prephenate dehydratase","K14170"
"1238","KKOIIGHA_01930","CDS",1083,"serC","2.6.1.52","","Phosphoserine aminotransferase","K00831"
"1239","KKOIIGHA_01931","CDS",2718,"gyrA","","","DNA gyrase subunit A GyrA","K02469"
"1240","KKOIIGHA_01932","CDS",435,"fadM","3.1.2.-","COG0824","Long-chain acyl-CoA thioesterase FadM","K12500"
"1241","KKOIIGHA_01933","CDS",930,"rdgC","","COG2974","Recombination-associated protein RdgC","K03554"
"1242","KKOIIGHA_01935","CDS",1479,"trkI","","COG0168","Trk system potassium uptake protein TrkI","K03498"
"1243","KKOIIGHA_01938","CDS",1821,"pilB","","","Type IV pilus assembly ATPase PilB","K02652"
"1244","KKOIIGHA_01939","CDS",1335,"pilC","","","Type IV pilus assembly protein PilC","K02653"
"1245","KKOIIGHA_01940","CDS",867,"pilD","","","Prepilin leader peptidase/N-methyltransferase","K02654"
"1246","KKOIIGHA_01941","CDS",639,"coaE","2.7.1.24","COG0237","Dephospho-CoA kinase","K00859"
"1247","KKOIIGHA_01942","CDS",243,"yacG","","","DNA gyrase inhibitor YacG","K09862"
"1248","KKOIIGHA_01943","CDS",1485,"prpD","4.2.1.79","COG2079","2-methylcitrate dehydratase","K01720"
"1249","KKOIIGHA_01944","CDS",1128,"prpC","2.3.3.5","","2-methylcitrate synthase","K01659"
"1250","KKOIIGHA_01945","CDS",882,"prpB","4.1.3.30","","2-methylisocitrate lyase","K03417"
"1251","KKOIIGHA_01947","CDS",1347,"pabB","2.6.1.85","COG0147","Aminodeoxychorismate synthase component 1","K01665"
"1252","KKOIIGHA_01948","CDS",1077,"btuC","","","Vitamin B12 import system permease protein BtuC","K02015"
"1253","KKOIIGHA_01949","CDS",801,"hmuV","7.6.2.-","","Hemin import ATP-binding protein HmuV","K02013"
"1254","KKOIIGHA_01950","CDS",621,"cysH","1.8.4.8","COG0175","Phosphoadenosine 5'-phosphosulfate reductase","K00390"
"1255","KKOIIGHA_01951","CDS",972,"cysB","","","HTH-type transcriptional regulator CysB","K13634"
"1256","KKOIIGHA_01952","CDS",324,"trxA_2","","","Thioredoxin 1","K03671"
"1257","KKOIIGHA_01954","CDS",1812,"dmdC_2","1.3.99.41","COG1960","3-methylmercaptopropionyl-CoA dehydrogenase","K20035"
"1258","KKOIIGHA_01957","CDS",1188,"phaA","2.3.1.9","COG0183","Acetyl-CoA acetyltransferase","K00626"
"1259","KKOIIGHA_01959","CDS",396,"fluC","","","Fluoride-specific ion channel FluC","K06199"
"1260","KKOIIGHA_01960","CDS",888,"pstB","7.3.2.1","","Phosphate import ATP-binding protein PstB","K02036"
"1261","KKOIIGHA_01961","CDS",1167,"","","","hypothetical protein","K02038"
"1262","KKOIIGHA_01962","CDS",1257,"","","","hypothetical protein","K02037"
"1263","KKOIIGHA_01963","CDS",1014,"sphX","","COG0226","Protein SphX","K02040"
"1264","KKOIIGHA_01964","CDS",1203,"bcr_2","","COG2814","Bicyclomycin resistance protein","K07552"
"1265","KKOIIGHA_01965","CDS",1740,"tsr","","COG0840","Methyl-accepting chemotaxis protein I","K05874"
"1266","KKOIIGHA_01968","CDS",741,"mlaA","","COG2853","Intermembrane phospholipid transport system lipoprotein MlaA","K04754"
"1267","KKOIIGHA_01969","CDS",1143,"","2.3.1.207","","Beta-ketodecanoyl-[acyl-carrier-protein] synthase","K16872"
"1268","KKOIIGHA_01970","CDS",4014,"hrpA","3.6.4.13","COG1643","ATP-dependent RNA helicase HrpA","K03578"
"1269","KKOIIGHA_01972","CDS",1677,"fadD","6.2.1.3","COG0318","Long-chain-fatty-acid--CoA ligase","K01897"
"1270","KKOIIGHA_01976","CDS",2088,"dapb1","3.4.14.-","","Dipeptidyl aminopeptidase BI","K01354"
"1271","KKOIIGHA_01977","CDS",468,"","","","hypothetical protein","K09160"
"1272","KKOIIGHA_01978","CDS",291,"ycgL","","COG3100","Protein YcgL","K09902"
"1273","KKOIIGHA_01979","CDS",1143,"rnd","3.1.13.5","COG0349","Ribonuclease D","K03684"
"1274","KKOIIGHA_01980","CDS",606,"recR","","","Recombination protein RecR","K06187"
"1275","KKOIIGHA_01981","CDS",327,"ybaB","","COG0718","Nucleoid-associated protein YbaB","K09747"
"1276","KKOIIGHA_01982","CDS",1857,"dnaX","2.7.7.7","COG2812","DNA polymerase III subunit tau","K02343"
"1277","KKOIIGHA_01986","CDS",1515,"","","","hypothetical protein","K07793"
"1278","KKOIIGHA_01988","CDS",987,"","","","hypothetical protein","K07795"
"1279","KKOIIGHA_01990","CDS",663,"tctD","","","Transcriptional regulatory protein TctD","K07774"
"1280","KKOIIGHA_01991","CDS",1365,"sasA_2","2.7.13.3","","Adaptive-response sensory-kinase SasA","K07649"
"1281","KKOIIGHA_01992","CDS",1110,"","","","hypothetical protein","K02012"
"1282","KKOIIGHA_01993","CDS",768,"tlyA","2.1.1.226","","16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA","K06442"
"1283","KKOIIGHA_01994","CDS",3363,"mscK","","COG1196","Mechanosensitive channel MscK","K05802"
"1284","KKOIIGHA_01995","CDS",930,"pldA","3.1.1.32","COG2829","Phospholipase A1","K01058"
"1285","KKOIIGHA_01999","CDS",1860,"yejM","","COG3083","Inner membrane protein YejM","K07014"
"1286","KKOIIGHA_02004","CDS",756,"anr_4","","COG0664","Transcriptional activator protein Anr","K01420"
"1287","KKOIIGHA_02005","CDS",999,"prs2","2.7.6.1","","Putative ribose-phosphate pyrophosphokinase 2","K00948"
"1288","KKOIIGHA_02006","CDS",1062,"","","","hypothetical protein","K07028"
"1289","KKOIIGHA_02009","CDS",1023,"","","","hypothetical protein","K10716"
"1290","KKOIIGHA_02010","CDS",909,"ectD_2","1.14.11.55","COG5285","Ectoine dioxygenase","K10674"
"1291","KKOIIGHA_02011","CDS",1842,"","","","hypothetical protein","K08282"
"1292","KKOIIGHA_02012","CDS",1665,"","","","hypothetical protein","K00627"
"1293","KKOIIGHA_02013","CDS",978,"","1.2.4.4","COG0022","2-oxoisovalerate dehydrogenase subunit beta","K00167"
"1294","KKOIIGHA_02014","CDS",1212,"","1.2.4.4","COG1071","2-oxoisovalerate dehydrogenase subunit alpha","K00166"
"1295","KKOIIGHA_02015","CDS",1935,"leuC_2","4.2.1.33","","3-isopropylmalate dehydratase large subunit","K27802"
"1296","KKOIIGHA_02020","CDS",2634,"topA","5.6.2.1","COG0550","DNA topoisomerase 1","K03168"
"1297","KKOIIGHA_02022","CDS",1596,"aruI","4.1.1.75","","putative 2-ketoarginine decarboxylase AruI","K01652"
"1298","KKOIIGHA_02030","CDS",3450,"mfd","3.6.4.-","COG1197","Transcription-repair-coupling factor","K03723"
"1299","KKOIIGHA_02031","CDS",1455,"gap2","1.2.1.-","","Glyceraldehyde-3-phosphate dehydrogenase-like protein","K00134"
"1300","KKOIIGHA_02032","CDS",1353,"nqrA","7.2.1.1","COG1726","Na(+)-translocating NADH-quinone reductase subunit A","K00346"
"1301","KKOIIGHA_02033","CDS",1230,"nqrB","7.2.1.1","COG1805","Na(+)-translocating NADH-quinone reductase subunit B","K00347"
"1302","KKOIIGHA_02034","CDS",786,"nqrC","7.2.1.1","COG2869","Na(+)-translocating NADH-quinone reductase subunit C","K00348"
"1303","KKOIIGHA_02035","CDS",669,"nqrD","7.2.1.1","COG1347","Na(+)-translocating NADH-quinone reductase subunit D","K00349"
"1304","KKOIIGHA_02036","CDS",621,"nqrE","7.2.1.1","COG2209","Na(+)-translocating NADH-quinone reductase subunit E","K00350"
"1305","KKOIIGHA_02037","CDS",1233,"nqrF","7.2.1.1","","Na(+)-translocating NADH-quinone reductase subunit F","K00351"
"1306","KKOIIGHA_02038","CDS",1020,"apbE","2.7.1.180","COG1477","FAD:protein FMN transferase","K03734"
"1307","KKOIIGHA_02040","CDS",1392,"sthA_3","1.6.1.1","","Soluble pyridine nucleotide transhydrogenase","K00322"
"1308","KKOIIGHA_02043","CDS",939,"trhO","1.14.-.-","","tRNA uridine(34) hydroxylase","K07146"
"1309","KKOIIGHA_02044","CDS",900,"ctu","3.5.1.20","COG0388","Citrullinase","K12251"
"1310","KKOIIGHA_02046","CDS",1242,"lolE","","COG4591","Lipoprotein-releasing system transmembrane protein LolE","K09808"
"1311","KKOIIGHA_02047","CDS",723,"lolD","7.6.2.-","COG1136","Lipoprotein-releasing system ATP-binding protein LolD","K09810"
"1312","KKOIIGHA_02048","CDS",555,"","","","hypothetical protein","K09928"
"1313","KKOIIGHA_02049","CDS",2328,"","","","hypothetical protein","K02238"
"1314","KKOIIGHA_02050","CDS",654,"tolQ_2","","COG0811","Tol-Pal system protein TolQ","K03561"
"1315","KKOIIGHA_02052","CDS",1743,"msbA","7.5.2.6","COG1132","ATP-dependent lipid A-core flippase","K11085"
"1316","KKOIIGHA_02053","CDS",1038,"lpxK","2.7.1.130","COG1663","Tetraacyldisaccharide 4'-kinase","K00912"
"1317","KKOIIGHA_02054","CDS",216,"","","","hypothetical protein","K09791"
"1318","KKOIIGHA_02055","CDS",774,"kdsB","2.7.7.38","","3-deoxy-manno-octulosonate cytidylyltransferase","K00979"
"1319","KKOIIGHA_02056","CDS",474,"","3.1.3.48","COG0394","Putative low molecular weight protein-tyrosine-phosphatase","K25307"
"1320","KKOIIGHA_02057","CDS",1023,"murB","1.3.1.98","","UDP-N-acetylenolpyruvoylglucosamine reductase","K00075"
"1321","KKOIIGHA_02059","CDS",1092,"ychF","","COG0012","Ribosome-binding ATPase YchF","K06942"
"1322","KKOIIGHA_02060","CDS",585,"pth","3.1.1.29","","Peptidyl-tRNA hydrolase","K01056"
"1323","KKOIIGHA_02061","CDS",651,"rplY","","","Large ribosomal subunit protein bL25","K02897"
"1324","KKOIIGHA_02062","CDS",930,"prs","2.7.6.1","COG0462","Ribose-phosphate pyrophosphokinase","K00948"
"1325","KKOIIGHA_02064","CDS",852,"ispE","2.7.1.148","COG1947","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","K00919"
"1326","KKOIIGHA_02065","CDS",612,"lolB","","COG3017","Outer-membrane lipoprotein LolB","K02494"
"1327","KKOIIGHA_02067","CDS",1275,"hemA","1.2.1.70","COG0373","Glutamyl-tRNA reductase","K02492"
"1328","KKOIIGHA_02068","CDS",1086,"prfA","","COG0216","Peptide chain release factor RF1","K02835"
"1329","KKOIIGHA_02069","CDS",858,"prmC_2","2.1.1.297","COG2890","Release factor glutamine methyltransferase","K02493"
